algorithmName,mazeSize,runIndex,seed,pathFound,pathLength,nodesExplored,executionTimeNs,executionTimeMs,memoryUsedBytes,pathEfficiency
Q-Learning,50,2,44,true,435,434,751849,0.7518,0,1.0023
Depth-First Search,50,3,45,true,781,1447,5192676,5.1927,0,0.5397
Breadth-First Search,50,3,45,true,781,1691,19088916,19.0889,1048576,0.4619
A* (Manhattan),50,3,45,true,781,1656,21616082,21.6161,1012768,0.4716
A* (Euclidean),50,3,45,true,781,1658,29158047,29.1580,1005416,0.4710
Q-Learning,50,3,45,false,0,2,51676,0.0517,0,0.0000
Depth-First Search,50,4,46,true,721,1840,3186139,3.1861,524288,0.3918
Breadth-First Search,50,4,46,true,721,2420,19455539,19.4555,1048576,0.2979
A* (Manhattan),50,4,46,true,721,2320,21807101,21.8071,1394784,0.3108
A* (Euclidean),50,4,46,true,721,2331,21181964,21.1820,1565528,0.3093
Q-Learning,50,4,46,false,0,2,42647,0.0426,0,0.0000
Depth-First Search,50,5,47,true,881,1281,2113144,2.1131,524288,0.6877
Breadth-First Search,50,5,47,true,881,2388,17552922,17.5529,1048576,0.3689
A* (Manhattan),50,5,47,true,881,2270,20791586,20.7916,1425616,0.3881
A* (Euclidean),50,5,47,true,881,2284,21577656,21.5777,1299952,0.3857
Q-Learning,50,5,47,false,0,2,52720,0.0527,0,0.0000
Depth-First Search,50,6,48,true,415,428,1413664,1.4137,524288,0.9696
Breadth-First Search,50,6,48,true,415,1447,19453612,19.4536,1048576,0.2868
A* (Manhattan),50,6,48,true,415,1275,20187430,20.1874,668136,0.3255
A* (Euclidean),50,6,48,true,415,1314,18883331,18.8833,751616,0.3158
Q-Learning,50,6,48,true,415,414,364719,0.3647,0,1.0024
Depth-First Search,50,7,49,true,415,1902,3054029,3.0540,524288,0.2182
Breadth-First Search,50,7,49,true,415,1488,16767276,16.7673,1048576,0.2789
A* (Manhattan),50,7,49,true,415,1351,17939844,17.9398,876840,0.3072
A* (Euclidean),50,7,49,true,415,1388,23220381,23.2204,751568,0.2990
Q-Learning,50,7,49,true,415,414,380631,0.3806,0,1.0024
Depth-First Search,50,8,50,true,591,1325,2039556,2.0396,524288,0.4460
